id,title,description,image_link,link,price,"City name","Property type",Address,"Listing type"
193814,"Chalet Adosado en venta en Nueva Andalucía - Málaga | Gilmar","3 hab, 3 baños, 123.45 m²",https://gilmar.cloudimg.io/v7/_imagenes_/2024-02/803b8f86-b3d9-4540-8f9a-cfd9816443af/DSC08546%20(FILEminimizer).jpg?w=1440,https://www.gilmar.es/inmueble/comprar-chalet-nueva-andalucia-malaga-referencia-193814/,"441,000.00 EUR","Nueva Andalucía",Viviendas,"36.489785366932445, -4.97059350266508",Comprar
194416,"Chalet Adosado en venta en Nueva Andalucía - Málaga | Gilmar","4 hab, 4 baños, 545.0 m²",https://gilmar.cloudimg.io/v7/_imagenes_/2024-02/49781f0e-ca8c-40ee-88eb-d6aa7fd2fc45/MPDunne%20(20)%20(FILEminimizer).JPG?w=1440,https://www.gilmar.es/inmueble/comprar-chalet-nueva-andalucia-malaga-referencia-194416/,"1,195,000.00 EUR","Nueva Andalucía",Viviendas,"36.542822933874106, -4.948687755507876",Comprar
194900,"Chalet Independiente en venta en Nueva Andalucía - Málaga | Gilmar","5 hab, 6 baños, 515.0 m²",https://gilmar.cloudimg.io/v7/_imagenes_/2024-02/f6f006d4-4988-41b2-9a8d-1502f19e06c0/DSC09756.jpg?w=1440,https://www.gilmar.es/inmueble/comprar-chalet-nueva-andalucia-malaga-referencia-194900/,"3,495,000.00 EUR","Nueva Andalucía",Viviendas,"36.51206378088858, -4.981240430390955",Comprar
194968,"Chalet Independiente en venta en San Pedro Alcántara - Málaga | Gilmar","7 hab, 6 baños, 389.4 m²",https://gilmar.cloudimg.io/v7/_imagenes_/2024-04/cf30cc75-a102-4414-bb48-ba5236304530/DSC04222.jpg?w=1440,https://www.gilmar.es/inmueble/comprar-chalet-san-pedro-alcantara-malaga-referencia-194968/,"1,250,000.00 EUR","San Pedro Alcántara",Viviendas,"36.48578532913905, -4.998324502791568",Comprar
194972,"Chalet Adosado en venta en San Pedro Alcántara - Málaga | Gilmar","4 hab, 4 baños, 361.57 m²",https://gilmar.cloudimg.io/v7/_imagenes_/2024-03/0873ceb4-6021-4059-9866-700299721692/DJI_0995%20(FILEminimizer).jpg?w=1440,https://www.gilmar.es/inmueble/comprar-chalet-san-pedro-alcantara-malaga-referencia-194972/,"548,000.00 EUR","San Pedro Alcántara",Viviendas,"36.48026247887522, -4.997929791798085",Comprar
195025,"Chalet Independiente en venta en Nueva Andalucía - Málaga | Gilmar","5 hab, 7 baños, 356.4 m²",https://gilmar.cloudimg.io/v7/_imagenes_/2024-02/aea55fac-0e51-44be-ab84-c2735090890b/20190919-DSC_7592.jpg?w=1440,https://www.gilmar.es/inmueble/comprar-chalet-nueva-andalucia-malaga-referencia-195025/,"2,450,000.00 EUR","Nueva Andalucía",Viviendas,"36.5105837762414, -4.986838486986152",Comprar
195476,"Apartamento en venta en Nueva Andalucía - Málaga | Gilmar Consulting","2 hab, 2 baños, 153.94 m²",https://gilmar.cloudimg.io/v7/_imagenes_/2024-03/0ae0931d-dd6e-4a5a-a215-68af57a6f166/DSC08759%20(FILEminimizer).jpg?w=1440,https://www.gilmar.es/inmueble/comprar-piso-nueva-andalucia-malaga-referencia-195476/,"788,000.00 EUR","Nueva Andalucía",Viviendas,"36.486089545039455, -4.972921434059339",Comprar
195515,"Chalet Independiente en venta en Nueva Andalucía - Málaga | Gilmar","5 hab, 7 baños, 606.0 m²",https://gilmar.cloudimg.io/v7/_imagenes_/2024-03/d963c6cc-6c74-4606-8328-acdd23c675dc/HR%20Gardenias2.jpg?w=1440,https://www.gilmar.es/inmueble/comprar-chalet-nueva-andalucia-malaga-referencia-195515/,"4,750,000.00 EUR","Nueva Andalucía",Viviendas,"36.48858985223033, -4.964657691023129",Comprar
195797,"Dúplex en venta en Puerto Banús - Málaga | Gilmar Consulting","6 hab, 6 baños, 650.0 m²",https://gilmar.cloudimg.io/v7/_imagenes_/2024-03/ec7cd687-375e-4c8e-b1f5-38a3c93ab411/DSC05304%20(FILEminimizer).jpg?w=1440,https://www.gilmar.es/inmueble/comprar-piso-puerto-banus-malaga-referencia-195797/,"4,468,000.00 EUR","Puerto Banús",Viviendas,"36.489769609785, -4.9574562979436285",Comprar
195798,"Apartamento en venta en Puerto Banús - Málaga | Gilmar Consulting","3 hab, 3 baños, 324.31 m²",https://gilmar.cloudimg.io/v7/_imagenes_/2024-03/b6a92ea3-36d8-43e0-bd31-ec4c7861dbc5/DSC08962%20(FILEminimizer).jpg?w=1440,https://www.gilmar.es/inmueble/comprar-piso-puerto-banus-malaga-referencia-195798/,"3,368,000.00 EUR","Puerto Banús",Viviendas,"36.48821640296895, -4.9600629060033565",Comprar
196026,"Chalet Independiente en venta en Nueva Andalucía - Málaga | Gilmar","6 hab, 7 baños, 890.0 m²",https://gilmar.cloudimg.io/v7/_imagenes_/2024-03/28eca2d0-2913-47f5-96c3-779d049f9c18/2023.06.05%20-%20Ownerslink%20-%20Cerquita%2065%20-%20D7.jpg?w=1440,https://www.gilmar.es/inmueble/comprar-chalet-nueva-andalucia-malaga-referencia-196026/,"6,400,000.00 EUR","Nueva Andalucía",Viviendas,"36.51347002396142, -4.972002325706959",Comprar
196052,"Chalet Independiente en venta en Benahavís - Málaga | Gilmar","3 hab, 3 baños, 723.0 m²",https://gilmar.cloudimg.io/v7/_imagenes_/2024-03/81d4a558-b61b-4967-8a90-cba4527d08a5/Dining%201-sm.jpg?w=1440,https://www.gilmar.es/inmueble/comprar-chalet-benahavis-malaga-referencia-196052/,"6,295,000.00 EUR",Benahavís,Viviendas,"36.52026110552255, -4.997635145391758",Comprar
196062,"Chalet Independiente en venta en Benahavís - Málaga | Gilmar","4 hab, 4 baños, 642.0 m²",https://gilmar.cloudimg.io/v7/_imagenes_/2024-03/a2588735-2eb1-4b1f-a9a3-0fa8979b63ed/Lounge%201-sm.jpg?w=1440,https://www.gilmar.es/inmueble/comprar-chalet-benahavis-malaga-referencia-196062/,"5,995,000.00 EUR",Benahavís,Viviendas,"36.525217429759, -5.003928722180645",Comprar
190986,"Bajo en venta en Nueva Andalucía - Málaga | Gilmar Consulting","2 hab, 2 baños, 106.0 m²",https://gilmar.cloudimg.io/v7/_imagenes_/2023-10/42339c79-87ac-425e-862e-e3263fef6383/BLQ_02_PL1_Apt4_Terraza_cam2_v3.jpg?w=1440,https://www.gilmar.es/inmueble/comprar-piso-nueva-andalucia-malaga-referencia-190986/,"453,000.00 EUR","Nueva Andalucía",Viviendas,"36.5217951603507, -4.970797932962514",Comprar
190988,"Piso en venta en Puerto Banús - Málaga | Gilmar Consulting","3 hab, 4 baños, 128.0 m²",https://gilmar.cloudimg.io/v7/_imagenes_/2023-10/8299263d-cd35-4132-9481-3aea1c3894cd/DSC07113%20(FILEminimizer).jpg?w=1440,https://www.gilmar.es/inmueble/comprar-piso-puerto-banus-malaga-referencia-190988/,"790,000.00 EUR","Puerto Banús",Viviendas,"36.4902166698612, -4.958697674840761",Comprar
191348,"Solar Urbano en venta en Nueva Andalucía - Málaga | Gilmar Consulting","1102.0 m²",https://gilmar.cloudimg.io/v7/_imagenes_/2023-11/a4e98d88-0062-435b-b098-d42e2a68e7e9/DJI_0475%20(FILEminimizer).jpg?w=1440,https://www.gilmar.es/inmueble/comprar-solar-nueva-andalucia-malaga-referencia-191348/,"1,600,000.00 EUR","Nueva Andalucía",Solares,"36.50470727116895, -4.963736287371999",Comprar
191451,"Piso en venta en Puerto Banús - Málaga | Gilmar Consulting","2 hab, 2 baños, 156.81 m²",https://gilmar.cloudimg.io/v7/_imagenes_/2023-12/37b6d829-a68b-4a1b-a293-52c71d03b574/DSC06417%20(FILEminimizer).jpg?w=1440,https://www.gilmar.es/inmueble/comprar-piso-puerto-banus-malaga-referencia-191451/,"715,000.00 EUR","Puerto Banús",Viviendas,"36.48408990173537, -4.970302672974603",Comprar
191537,"Apartamento en venta en Nueva Andalucía - Málaga | Gilmar Consulting","2 hab, 2 baños, 145.68 m²",https://gilmar.cloudimg.io/v7/_imagenes_/2023-11/935b750a-a5f0-48f9-8c3d-de5aba7ff5fa/Altamira%20Singularity%20Aloha%20Integracion_DJI_0581_CROP%20v3.jpg?w=1440,https://www.gilmar.es/inmueble/comprar-piso-nueva-andalucia-malaga-referencia-191537/,"608,500.00 EUR","Nueva Andalucía",Viviendas,"36.52596731915565, -4.973008023829065",Comprar
191539,"Apartamento en venta en Nueva Andalucía - Málaga | Gilmar Consulting","3 hab, 2 baños, 145.84 m²",https://gilmar.cloudimg.io/v7/_imagenes_/2023-11/7a82a438-883a-4faa-bc3c-4bd4b7b1c1ff/Altamira%20Singularity%20Aloha%20Piscina%20v3.jpg?w=1440,https://www.gilmar.es/inmueble/comprar-piso-nueva-andalucia-malaga-referencia-191539/,"683,000.00 EUR","Nueva Andalucía",Viviendas,"36.528071856419416, -4.971034170804182",Comprar
191711,"Local Comercial en venta en Puerto Banús - Málaga | Gilmar Consulting","82.0 m²",https://gilmar.cloudimg.io/v7/_imagenes_/2023-11/7b7afb6e-7407-4261-90db-481c3a38d7f8/DSC01736%20(FILEminimizer).jpg?w=1440,https://www.gilmar.es/inmueble/comprar-local-puerto-banus-malaga-referencia-191711/,"750,000.00 EUR","Puerto Banús",Locales,"36.486735291837455, -4.9563212689388125",Comprar
192395,"Dúplex en venta en Nueva Andalucía - Málaga | Gilmar Consulting","2 hab, 2 baños, 210.03 m²",https://gilmar.cloudimg.io/v7/_imagenes_/2024-01/21b52c92-d842-4851-b3c8-c7b9491aa6f2/DSC00485%20(2)%20(FILEminimizer).jpg?w=1440,https://www.gilmar.es/inmueble/comprar-piso-nueva-andalucia-malaga-referencia-192395/,"728,800.00 EUR","Nueva Andalucía",Viviendas,"36.50488453095795, -4.978994234268416",Comprar
192446,"Apartamento en venta en Nueva Andalucía - Málaga | Gilmar Consulting","4 hab, 3 baños, 134.0 m²",https://gilmar.cloudimg.io/v7/_imagenes_/2023-12/80c1723b-cf82-45c6-bd13-4e0e0fa56da6/2d0630ac-0897-472f-a34b-663a72a952b3.jpg?w=1440,https://www.gilmar.es/inmueble/comprar-piso-nueva-andalucia-malaga-referencia-192446/,"413,000.00 EUR","Nueva Andalucía",Viviendas,"36.49427082593371, -4.976355491972243",Comprar
192447,"Apartamento en venta en Nueva Andalucía - Málaga | Gilmar Consulting","4 hab, 3 baños, 121.0 m²",https://gilmar.cloudimg.io/v7/_imagenes_/2023-12/9ac21ce4-4f00-4702-a96d-c0d3db228468/a490ed95-7677-4dde-ae2a-62a2bbe09046.jpg?w=1440,https://www.gilmar.es/inmueble/comprar-piso-nueva-andalucia-malaga-referencia-192447/,"405,000.00 EUR","Nueva Andalucía",Viviendas,"36.49377170792878, -4.978833097851391",Comprar
192742,"Chalet Independiente en venta en San Pedro Alcántara - Málaga | Gilmar","5 hab, 5 baños, 450.44 m²",https://gilmar.cloudimg.io/v7/_imagenes_/2023-12/51046626-c97a-4a58-89dc-1644cbefbc23/VILLA_LIPTO%20-%20copia5.jpg?w=1440,https://www.gilmar.es/inmueble/comprar-chalet-san-pedro-alcantara-malaga-referencia-192742/,"2,800,000.00 EUR","San Pedro Alcántara",Viviendas,"36.47182750832714, -4.993520189928795",Comprar
192757,"Solar Industrial en venta en San Pedro Alcántara - Málaga | Gilmar","789.0 m²",https://gilmar.cloudimg.io/v7/_imagenes_/2023-12/9e136431-e6ec-46ba-b799-a039c0a7541b/DJI_0601.jpg?w=1440,https://www.gilmar.es/inmueble/comprar-solar-san-pedro-alcantara-malaga-referencia-192757/,"1,025,000.00 EUR","San Pedro Alcántara",Solares,"36.49999904997229, -4.989805655023668",Comprar
